ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
NFBK,2019-04-24T18:54:00.000Z,TAS,0.19,0.19,1.06,EDT,-14400000,EQUITY
OSBC,2019-04-24T17:04:00.000Z,TAS,0.3,0.28,-5.41,EDT,-14400000,EQUITY
BCOV,2019-04-24T16:05:00.000Z,TAS,-0.03,-0.01,69.7,EDT,-14400000,EQUITY
BRKL,2019-04-24T16:08:00.000Z,TAS,0.26,0.28,6.06,EDT,-14400000,EQUITY
BOLYY,2019-04-25T02:42:00.000Z,TAS,,0.38,,UTC,0,EQUITY
ESSA,2019-04-24T16:30:00.000Z,TAS,0.25,0.26,4,EDT,-14400000,EQUITY
HTBI,2019-04-24T16:05:00.000Z,TAS,0.41,0.16,-61.26,EDT,-14400000,EQUITY
INBK,2019-04-24T16:15:00.000Z,TAS,0.51,0.56,9.38,EDT,-14400000,EQUITY
BOKF,2019-04-24T07:55:00.000Z,TAS,1.45,1.54,5.99,EDT,-14400000,EQUITY
BWFG,2019-04-24T16:23:00.000Z,TAS,0.56,0.65,16.7,EDT,-14400000,EQUITY
BA,2019-04-24T07:30:00.000Z,TAS,3.16,3.16,-0.03,EDT,-14400000,EQUITY
BNNNF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BCLYF,2019-04-25T02:00:00.000Z,TAS,5.41,6.4,18.3,EDT,-14400000,EQUITY
CBNK,2019-04-24T08:00:00.000Z,TAS,0.26,0.24,-6.61,EDT,-14400000,EQUITY
BICEF,2019-04-25T01:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
STL-PA,2019-04-24T16:10:00.000Z,TAS,0.49,0.5,2.67,UTC,0,EQUITY
BIIB,2019-04-24T06:43:00.000Z,TAS,6.87,6.98,1.66,EDT,-14400000,EQUITY
BCO,2019-04-24T07:30:00.000Z,TAS,0.72,0.79,10.34,EDT,-14400000,EQUITY
FBHS,2019-04-24T16:05:00.000Z,TAS,0.58,0.63,8.06,EDT,-14400000,EQUITY
LOB,2019-04-24T16:30:00.000Z,TAS,0.01,0.06,500,EDT,-14400000,EQUITY
OVBC,2019-04-25T01:51:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MBRFF,2019-04-25T02:14:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BHE,2019-04-24T16:01:00.000Z,TAS,0.33,0.33,0,EDT,-14400000,EQUITY
RBNC,2019-04-24T16:05:00.000Z,TAS,0.33,0.33,-0.9,UTC,0,EQUITY
BANR,2019-04-24T16:00:00.000Z,TAS,1.03,0.95,-8.03,EDT,-14400000,EQUITY
BOKFL,2019-04-24T07:55:00.000Z,TAS,1.45,1.54,5.99,UTC,0,EQUITY
BKU,2019-04-24T06:45:00.000Z,TAS,0.64,0.65,1.72,EDT,-14400000,EQUITY
BSX,2019-04-24T06:30:00.000Z,TAS,0.36,0.35,-1.69,EDT,-14400000,EQUITY
BCS,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BICEY,2019-04-25T01:15:00.000Z,TAS,,,,EDT,-14400000,EQUITY
EVBN,2019-04-24T16:15:00.000Z,TAS,0.78,0.75,-3.85,EDT,-14400000,EQUITY
PB,2019-04-24T06:31:00.000Z,TAS,1.17,1.18,1.29,EDT,-14400000,EQUITY
HBNC,2019-04-24T16:35:00.000Z,TAS,0.33,0.28,-14.63,EDT,-14400000,EQUITY
RBCAA,2019-04-24T08:05:00.000Z,TAS,1.36,1.41,3.68,EDT,-14400000,EQUITY
FMNB,2019-04-24T08:00:00.000Z,TAS,0.29,0.3,2.39,EDT,-14400000,EQUITY
PBDIF,2019-04-24T18:46:00.000Z,TAS,114.68,97.36,-15.1,UTC,0,EQUITY
LMST,2019-04-24T22:12:00.000Z,TAS,0.3,0.38,26.67,EDT,-14400000,EQUITY
SAM,2019-04-24T16:15:00.000Z,TAS,0.98,2.02,106.97,EDT,-14400000,EQUITY
MCB,2019-04-24T16:30:00.000Z,TAS,0.75,1.01,35.03,EDT,-14400000,EQUITY
ISBC,2019-04-24T17:48:00.000Z,TAS,0.2,0.18,-9.55,EDT,-14400000,EQUITY
SYBT,2019-04-24T07:00:00.000Z,TAS,0.59,0.68,14.67,EDT,-14400000,EQUITY
BSX-PA,2019-04-24T06:30:00.000Z,TAS,0.36,0.35,-1.69,EDT,-14400000,EQUITY
BNTC,2019-04-24T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CFBK,2019-04-24T17:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
STL,2019-04-24T16:10:00.000Z,TAS,0.49,0.5,2.67,UTC,0,EQUITY
DRE,2019-04-24T16:12:00.000Z,TAS,0.09,0.12,36.36,EDT,-14400000,EQUITY
DSKYF,2019-04-25T00:01:00.000Z,TAS,,7.52,,EDT,-14400000,EQUITY
TRXPF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SEIC,2019-04-24T16:01:00.000Z,TAS,0.76,0.73,-3.44,EDT,-14400000,EQUITY
SWI,2019-04-24T16:06:00.000Z,TAS,0.17,0.2,16.28,EDT,-14400000,EQUITY
LRCX,2019-04-24T16:05:00.000Z,TAS,3.38,3.7,9.47,EDT,-14400000,EQUITY
DTE,2019-04-24T07:00:00.000Z,TAS,1.95,2.05,5.07,EDT,-14400000,EQUITY
CRQDF,2019-04-24T13:15:00.000Z,TAS,1.16,1.59,37.07,EDT,-14400000,EQUITY
MLRYY,2019-04-25T02:00:00.000Z,TAS,16.75,7.53,-55.04,EDT,-14400000,EQUITY
OSKXF,2019-04-25T00:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SMED,2019-04-24T06:55:00.000Z,TAS,-0.01,-0.07,-438.46,EDT,-14400000,EQUITY
CLDHF,2019-04-24T06:26:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CLB,2019-04-24T17:35:00.000Z,TAS,0.43,0.44,2.56,EDT,-14400000,EQUITY
VSOGF,2019-04-24T20:00:00.000Z,TAS,0.11,-0.19,-280.95,EDT,-14400000,EQUITY
CYBE,2019-04-24T16:00:00.000Z,TAS,0,0.07,2433.33,EDT,-14400000,EQUITY
EJPRF,2019-04-25T02:00:00.000Z,TAS,54.99,59.12,7.51,EDT,-14400000,EQUITY
ELLMF,2019-04-24T20:00:00.000Z,TAS,0.14,0.03,-78.57,UTC,0,EQUITY
SKSUF,2019-04-25T00:30:00.000Z,TAS,51.87,51.86,-0.02,EDT,-14400000,EQUITY
NOC,2019-04-24T06:38:00.000Z,TAS,4.59,5.06,10.34,EDT,-14400000,EQUITY
NTDOY,2019-04-25T03:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MSFT,2019-04-24T16:07:00.000Z,TAS,1,1.14,14.11,EDT,-14400000,EQUITY
OC,2019-04-24T06:00:00.000Z,TAS,0.56,0.54,-3.4,EDT,-14400000,EQUITY
CRRFY,2019-04-24T13:10:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MEOH,2019-04-24T17:19:00.000Z,TAS,0.87,0.73,-16,EDT,-14400000,EQUITY
GRPRF,2019-04-24T12:20:00.000Z,TAS,,,,EDT,-14400000,EQUITY
YAHOF,2019-04-25T02:00:00.000Z,TAS,3.46,1.8,-47.92,EDT,-14400000,EQUITY
KBYPF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
VLNCF,2019-04-24T19:02:00.000Z,TAS,-0.01,-0.06,-500,UTC,0,EQUITY
